Projeto de LEI,Projeto de Lei - Regex,sigla,numero,ano,Origem Dados,camara_projeto,camara_ementa,camara_data_ultima_tramitacao,camara_orgao_ultima_tramitacao,camara_descricao_tramitacao,camara_situacao_ultima_tramitacao,camara_despacho_ultima_tramitacao,camara_data_parecer_aprovado,camara_orgao_parecer,camara_despacho_parecer,camara_link_inteiro_teor_parecer,camara_link_inteiro_teor_pl,camara_link_ficha_tramitacao,camara_data_proposta_pl,camara_propositor_pl,camara_partido,camara_estado,camara_emendas,camara_substitutivos,senado_projeto,senado_ementa,senado_data_ultima_tramitacao,senado_orgao_ultima_tramitacao,senado_situacao_ultima_tramitacao,senado_data_parecer_aprovado,senado_orgao_parecer,senado_link_inteiro_teor_parecer,senado_link_inteiro_teor_pl,senado_link_ficha_tramitacao,senado_data_proposta_pl,senado_propositor_pl,senado_partido,senado_estado,senado_emendas,senado_substitutivos,Nº,Processo,Descrição,Encaminhamento prévio - Teams/E-mail,1º Encaminhamento - Rementente,1º Encaminhamento - Despacho /Ofício,1º Encaminhamento - Data,1º Encaminhamento - Prazo p/ Resposta,2º Encaminhamento - Remetente,2º Encaminhamento - Despacho,2º Encaminhamento - Data,2º Encaminhamento - Prazo p/ Resposta,3º Encaminhamento - Remetente,3º Encaminhamento - Despacho,3º Encaminhamento - Data,3º Encaminhamento - Prazo p/ Resposta,Período de elaboração da Análise - Quantidade de dias úteis,Envio para a Delog - Data,Envio ao Gabinete da Seges - Data,Validação pelo gabinete da Seges - Quantidade de dias úteis,Assinaturas - Data,Manifestação da Seges - Nota técnica,Andamento do PL - Data/Detalhamento,Observações andamento - Parecer,camara_id_proposicao,senado_id_processo,senado_codigo_materia
"Projeto de Lei nº 2966, de 2024",PL 2966/2024,PL,2966,2024,Câmara,PL 2966/2024,Institui o Programa Servidor Aprendiz e estabelece suas diretrizes.,17/03/2026,CASP,Abertura de Prazo,Aguardando Parecer,Prazo para Emendas ao Projeto (5 sessões a partir de 18/03/2026),,CCP,Parecer recebido para publicação.,,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2456643,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2450209,19/07/2024,Rafael Brito,MDB,AL,https://www.camara.leg.br/proposicoesWeb/prop_emendas?idProposicao=2450209&subst=0,https://www.camara.leg.br/proposicoesWeb/prop_pareceres_substitutivos_votos?idProposicao=2450209,,,,,,,,,,,,,,,,,57,18001.000645/2025-64,"""Institui o Programa Servidor Aprendiz e estabelece suas diretrizes"".",xxx,Assessoria Especial de Assuntos Parlamentares Federativos ,OFÍCIO SEI Nº 39290/2025/MGI (sei 49449652),21/03/2025,04/04/2025,Assessoria Estratégica SEGES ,Despacho -SEGES - ASSEST (SEI49480493),24/03/2025,04/04/2025,Gabinete da Delog ,Despacho MGI-SEGES-DELOG (SEI 49528848),25/03/2025,03/04/2025,9,02/04/2025,08/05/2025,1,08/05/2024,"O Projeto de Lei nº 2966/2024, de autoria do Deputado Rafael Brito (MDB/AL), que ""Institui o Programa Servidor Aprendiz e estabelece suas diretrizes"", não deve prosperar.",,,2450209,,
"Projeto de Lei nº 389, de 2022",PL 389/2022,PL,389,2022,Câmara,PL 389/2022,"Altera a Lei nº 14.133, de 1º de abril de 2021, para assegurar o cumprimento das normas de saúde e segurança do trabalho na contratação de serviços pela Administração Pública.",17/03/2022,CCP,Publicação de Proposição,Aguardando Encaminhamento,Encaminhada à publicação. Publicação Inicial em avulso e no DCD de 18/03/2022 PAG 241,,,,,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2139720,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2315872,24/02/2022,Natália Bonavides,PT,RN,https://www.camara.leg.br/proposicoesWeb/prop_emendas?idProposicao=2315872&subst=0,https://www.camara.leg.br/proposicoesWeb/prop_pareceres_substitutivos_votos?idProposicao=2315872,,,,,,,,,,,,,,,,,58,18001.000391/2025-84,"""Altera a Lei nº 14.133, de 1º de abril de 2021, para assegurar o cumprimento das normas de saúde e segurança do trabalho na contratação de serviços pela Administração Pública.""",xxx,Assessoria Especial de Assuntos Parlamentares Federativos ,OFÍCIO SEI Nº 23720/2025/MGI (48658091),19/02/2025,05/03/2025,Assessoria Estratégica SEGES ,Despacho -SEGES - ASSEST (SEI48676109),20/02/2025,28/02/2025,Gabinete da Delog ,Despacho MGI-SEGES-DELOG (SEI 48678034),20/02/2025,26/02/2025,23,31/03/2025,01/04/2025,2,02/04/2025,"Diante do exposto, considerando o mérito da proposição, esta unidade técnica, no que tange às suas competências regimentais, entende que os objetivos propostos não serão alcançados apenas com alteração do art. 50, que trata exclusivamente da prestação de serviços continuados com dedicação exclusiva de mão de obra, sendo necessário apreciar uma das formas alternativas propostas no item 11 e subitens desta Nota Técnica.",,,2315872,,
"Projeto de Lei nº 5833, de 2023",PL 5833/2023,PL,5833,2023,Câmara,PL 5833/2023,"Estabelece margem de preferência para as propostas oferecidas por pessoas de baixa renda, na aquisição de materiais e equipamentos sem utilização previsível vendidos pela administração pública.",06/06/2025,CCP,Publicação de Proposição,Aguardando Designação de Relator(a),"Encaminhada à publicação. Parecer da Comissão de Finanças e Tributação Publicado em avulso e no DCD de 07/06/2025 PÁG 793, Letra A.",06/06/2025,CCP,"Encaminhada à publicação. Parecer da Comissão de Finanças e Tributação Publicado em avulso e no DCD de 07/06/2025 PÁG 793, Letra A.",https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2985508,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2368760,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2408923,04/12/2023,Sargento Portugal; Fred Linhares; Alberto Fraga; Sanderson; Bruno Ganem (+3),PODE,RJ,https://www.camara.leg.br/proposicoesWeb/prop_emendas?idProposicao=2408923&subst=0,https://www.camara.leg.br/proposicoesWeb/prop_pareceres_substitutivos_votos?idProposicao=2408923,,,,,,,,,,,,,,,,,59,18001.000398/2025-04,"Estabelece margem de preferência para as propostas oferecidas por pessoas de baixa renda, na aquisição de materiais e equipamentos sem utilização previsível vendidos pela administração pública.""",xxx,Assessoria Especial de Assuntos Parlamentares Federativos ,OFÍCIO SEI Nº 24367/2025/MGI (SEI 48693087),27/02/2025,06/03/2025,Assessoria Estratégica SEGES ,Despacho -SEGES - ASSEST (SEI 48676109),20/02/2025,28/02/2025,Gabinete da Delog ,Despacho MGI-SEGES-DELOG (SEI 48678034),20/02/2025,26/02/2025,23,31/03/2025,02/04/2025,1,02/04/2025,"Nesse sentido, observadas as atribuições regimentais desta Secretaria de Gestão e Inovação, manifesta-se no sentido de que o Projeto de Lei nº 5833/2023 (SEI 48692876), de autoria dos Deputados, Sargento Portugal (PODE/RJ) , Fred Linhares (REPUBLIC/DF), Alberto Fraga (PL/DF) e outros, que ""Estabelece margem de preferência para as propostas oferecidas por pessoas de baixa renda, na aquisição de materiais e equipamentos sem utilização previsível vendidos pela administração pública."", assim como o substitutivo proposto pela Comissão de Finanças e Tributação (CFT) (SEI 48692967), não devem prosperar.",,,2408923,,
"PL nº 1531, de 2022",PL 1531/2022,PL,1531,2022,Câmara,PL 1531/2022,"Altera a Lei nº 14.133, de 1º de abril de 2021, para dispor sobre os prazos mínimos para apresentação de propostas e lances.",21/06/2022,CCP,Publicação de Proposição,Aguardando Designação de Relator(a),Encaminhada à publicação. Publicação Inicial em avulso e no DCD de 22/06/2022 PAG 668,,,,,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2182607,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2326422,07/06/2022,Zé Vitor,PL,MG,https://www.camara.leg.br/proposicoesWeb/prop_emendas?idProposicao=2326422&subst=0,https://www.camara.leg.br/proposicoesWeb/prop_pareceres_substitutivos_votos?idProposicao=2326422,,,,,,,,,,,,,,,,,60,18001.000393/2025-73,"Altera a Lei nº 14.133, de 1º de abril de 2021, para dispor sobre os prazos mínimos para apresentação de propostas e lances.",xxx,Assessoria Especial de Assuntos Parlamentares Federativos ,OFÍCIO SEI Nº 23835/2025/MGI (SEI 48662662),27/02/2025,05/03/2025,Assessoria Estratégica SEGES ,Despacho -SEGES - ASSEST (SEI 48941579),28/02/2025,28/03/2025,Gabinete da Delog ,Despacho MGI-SEGES-DELOG (SEI 489558351),28/02/2025,26/03/2025,15,27/03/2024,27/03/2024,3,02/04/2025,"Diante do exposto, esta unidade técnica, conquanto ao mérito de relevo da proposição, se opõe ao projeto de lei, ora analisado, na forma apresentada em especial, na manifestação contida nos itens 9 a 10 desta Nota Técnica.",,,2326422,,
"PL nº 7063, de 2017",PL 7063/2017,PL,7063,2017,Câmara,PL 7063/2017,"Altera a Lei nº  11.079, de 30 de dezembro de 2004, para reduzir o valor mínimo dos contratos de parcerias público-privadas celebrados por Estados, pelo Distrito Federal e por Municípios.",07/05/2025,MESA,Desapensação,Arquivada,"Desapensação do PL nº 2.892, de 2011, apensado, em face da aprovação, em Plenário, da Subemenda Substitutiva Global ao Projeto de Lei nº 2.892, de 2011, adotada pelo relator da Comissão Especial. (Sessão Deliberativa Extraordinária Presencial de 07/05/2025 - 13:55 - 70ª Sessão)",05/07/2025,MESA,"Apresentação do PRLE n. 4 PLEN (Parecer Preliminar às Emendas de Plenário), pelo Deputado Arnaldo Jardim (CIDADANIA/SP -Fdr PSDB-CIDADANIA).",https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2901705,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1529629,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2124888,08/03/2017,Senado Federal - Antonio Carlos Valadares,N/A,N/A,https://www.camara.leg.br/proposicoesWeb/prop_emendas?idProposicao=2124888&subst=0,https://www.camara.leg.br/proposicoesWeb/prop_pareceres_substitutivos_votos?idProposicao=2124888,,,,,,,,,,,,,,,,,61,18001.002540/2024-69,"""Altera a Lei nº 11.079, de 30 de dezembro de 2004, para reduzir o valor mínimo dos contratos de parcerias público-privadas celebrados por Estados, pelo Distrito Federal e por Municípios""",xxx,Assessoria Especial de Assuntos Parlamentares Federativos (urgente),OFÍCIO SEI Nº 147419/2024/MGI (SEI 50247213),25/04/2025,,Assessoria Estratégica SEGES ,Despacho -SEGES - ASSEST (SEI 50252122),25/04/2025,,Gabinete da Delog ,Despacho MGI-SEGES-DELOG (SEI 50258747),25/04/2025,,8,08/05/2024,08/05/2024,3,12/05/2024,"Diante do exposto, observadas as atribuições regimentais desta Secretaria de Gestão e Inovação, esta unidade técnica manifesta-se favoravelmente à Subemenda Substitutiva (SEI 50247201) desde que observadas as considerações apresentadas nos itens 5.1 a 5.8 desta Nota Técnica.",,,2124888,,
"PL nº 2372, de 2024,",PL 2372/2024,PL,2372,2024,Câmara,PL 2372/2024,"Dispõe sobre o uso da inspeção acreditada de empreendimentos de infraestrutura no âmbito de obras públicas, concessões e parcerias público privadas",03/03/2026,CASP,Aprovação do Parecer,Aguardando Encaminhamento,Aprovado o Parecer.,03/03/2026,CASP,Aprovado o Parecer.,,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2437001,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2440640,13/06/2024,Flávio Nogueira,PT,PI,https://www.camara.leg.br/proposicoesWeb/prop_emendas?idProposicao=2440640&subst=0,https://www.camara.leg.br/proposicoesWeb/prop_pareceres_substitutivos_votos?idProposicao=2440640,,,,,,,,,,,,,,,,,62,18001.002307/2024-86,"""Dispõe sobre o uso da inspeção acreditada de empreendimentos de infraestrutura no âmbito de obras públicas, concessões e parcerias público privadas"".",xxx,Assessoria Especial de Assuntos Parlamentares Federativos (dilação de prazo),OFÍCIO SEI Nº 131842/2024/MGI (SEI 45181286),23/09/2024,04/10/2024,Assessoria Estratégica SEGES ,Despacho -SEGES - ASSEST (SEI 48818596),25/02/2025,28/04/2025,Gabinete da Delog ,Despacho MGI-SEGES-DELOG (SEI 4878223),24/02/2025,28/04/2025,40,24/02/2025,25/04/2025,4,29/04/2025,"
Diante do exposto, manifesta-se, com a devida vênia, que embora o Projeto de Lei tenha como objetivo garantir transparência, segurança e previsibilidade aos empreendimentos de infraestrutura, ele demandaria complementações para evitar que sua aplicação generalizada acarrete ineficiências no processo, além de impor custos elevados desnecessários a projetos de menor porte. Assim, com o devido respeito, dispõe-se de forma contrária ao Projeto de Lei nº 2372, de 2024, de autoria do Deputado Flávio Nogueira (PT/PI), que ""Dispõe sobre o uso da inspeção acreditada de empreendimentos de infraestrutura no âmbito de obras públicas, concessões e parcerias público privadas"" (SEI nº 45181206), considerando que a maturidade das regulamentações em curso representarão etapa necessária para a proposição consistente de Projeto de Lei dessa natureza.

 ",,,2440640,,
"PL nº 384, de 2025.",PL 384/2025,PL,384,2025,Câmara,PL 384/2025,"Dispõe sobre o planejamento e gestão de riscos na Administração Pública federal e estadual, estabelecendo diretrizes para o aprimoramento da governança, transparência e eficiência administrativa; altera o Decreto nº 9.203, de 22 de novembro de 2017, a Lei 14.133, de 1º de abril de 2021, Lei nº 14.129, de 29 de março de 2021.",04/02/2026,CASP,Saída de Relator(a) da Comissão - Com Parecer Apresentado,Aguardando Designação de Relator(a),"(Instalação da Comissão) O Relator, Dep. Icaro de Valmir, não integrava a Comissão na data da instalação (deixou de ser membro em 31/01/2026)",02/04/2026,CASP,"(Instalação da Comissão) O Relator, Dep. Icaro de Valmir, não integrava a Comissão na data da instalação (deixou de ser membro em 31/01/2026)",,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2853750,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2483603,11/02/2025,Duda Ramos,MDB,RR,https://www.camara.leg.br/proposicoesWeb/prop_emendas?idProposicao=2483603&subst=0,https://www.camara.leg.br/proposicoesWeb/prop_pareceres_substitutivos_votos?idProposicao=2483603,,,,,,,,,,,,,,,,,63,18001.000697/2025-31,"Dispõe sobre o planejamento e gestão de riscos na Administração Pública federal e estadual, estabelecendo diretrizes para o aprimoramento da governança, transparência e eficiência administrativa; altera o Decreto nº 9.203, de 22 de novembro de 2017, a Lei 14.133, de 1º de abril de 2021, Lei nº 14.129, de 29 de março de 2021"" ",xxx,Assessoria Especial de Assuntos Parlamentares Federativos ,OFÍCIO SEI Nº 42760/2025/MGI (SEI 49590414),27/03/2025,07/04/2025,Assessoria Estratégica SEGES ,Despacho -SEGES - ASSEST (SEI 49607026),28/03/2025,24/04/2025,Gabinete da Delog ,Despacho MGI-SEGES-DELOG (SEI 49737416),02/04/2025,22/04/2025,13,22/04/2025,22/04/2025,2,24/04/2025,"Nesse sentido, observadas as atribuições regimentais desta Secretaria de Gestão e Inovação, manifestamo-nos contrários ao prosseguimento do PL nº 384/2025, de autoria do Deputado Duda Ramos (MDB/RR), especificamente com relação aos dispositivos objeto de análise pela presente Nota Técnica.",,,2483603,,
"PLC nº 234, de 2020.",PLC 234/2020,PLC,234,2020,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,18001.001029/2025-21,"Altera a Lei Complementar nº 123, de 14 de dezembro de 2006, para estimular o uso estratégico das compras públicas para fomentar as atividades de microempresas e de empresas de pequeno porte"", bem como sobre o Parecer (50489919) apresentado no âmbito da Comissão de Assuntos Econômicos do Senado Federal.",xxx,Assessoria Especial de Assuntos Parlamentares Federativos ,OFÍCIO SEI Nº 59726/2025/MGI (SEI 50400283) ,06/05/2025,12/05/2025,Assessoria Estratégica SEGES ,Despacho -SEGES - ASSEST (SEI 50541851),09/05/2025,27/05/2025,Gabinete da Delog ,Despacho MGI-SEGES-DELOG (SEI 50537010),08/05/2025,27/05/2025,14,20/05/2025,20/05/2025,1,21/05/2025,"Diante do exposto, esta unidade manifesta-se favoravelmente ao seguimento do Projeto de Lei, na forma do Substitutivo proposto nesta Nota Técnica.",,,,,
"PL  nº 4.557, de 2024.",PL 4557/2024,PL,4557,2024,Câmara,PL 4557/2024,"Altera as Leis nº 9.472, de 16 de julho de 1997, nº 12.527, de 18 de novembro de 2011, e nº 14.133, de 1º de abril de 2021, para reorganizar a governança da Internet no Brasil, fortalecer a supervisão e regulamentação das atividades de registro e manutenção de domínios, e assegurar a transparência e eficiência na gestão da Internet.",28/05/2025,CCOM,Aprovação de Requerimento,Aguardando Parecer,"Aprovado o requerimento nº 22/2025,do Sr. David Soares que requer que seja realizada  audiência pública na Comissão de Comunicação sobre o PL nº  4557 de 2024",,,,,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2827547,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2472445,27/11/2024,Silas Câmara,REPUBLICANOS,AM,https://www.camara.leg.br/proposicoesWeb/prop_emendas?idProposicao=2472445&subst=0,https://www.camara.leg.br/proposicoesWeb/prop_pareceres_substitutivos_votos?idProposicao=2472445,,,,,,,,,,,,,,,,,65,18001.000194/2025-65,"Altera as Leis nº 9.472, de 16 de julho de 1997, nº 12.527, de 18 de novembro de 2011, e nº 14.133, de 1º de abril de 2021, para reorganizar a governança da Internet no Brasil, fortalecer a supervisão e regulamentação das atividades de registro e manutenção de domínios, e assegurar a transparência e eficiência na gestão da Internet"" ",xxx,Assessoria Especial de Assuntos Parlamentares Federativos ,OFÍCIO SEI Nº 11427/2025/MGI (SEI 47959651),28/01/2025,,Assessoria Estratégica SEGES ,Despacho -SEGES - ASSEST (SEI 48819025),25/02/2025,,Gabinete da Delog ,Despacho MGI-SEGES-DELOG (SEI 48822790),25/02/2025,,1,26/02/2025,26/02/2025,1,27/02/2025,"Em atenção ao Ofício 24664 (48716020), que trata doProjeto de Lei nº 4557, de 2024, de autoria do Dep. Silas Câmara (REPUBLICANOS/AM), que ""Altera as Leis nº 9.472, de 16 de julho de 1997, nº 12.527, de 18 de novembro de 2011, e nº 14.133, de 1º de abril de 2021, para reorganizar a governança da Internet no Brasil, fortalecer a supervisão e regulamentação das atividades de registro e manutenção de domínios, e assegurar a transparência e eficiência na gestão da Internet"" (SEI nº 47959487), e considerando os Despacho 48775171 e o Despacho 48900037, restitui-se a presente demanda, tendo em vista que a temática do Projeto de Lei não se insere nas competências desta Secretaria.",,,2472445,,
"PL nº 276, de 2019",PL 276/2019,PL,276,2019,Câmara,PL 276/2019,"Acrescenta dispositivos ao Código Penal, instituído pelo Decreto-Lei no 2.848, de 7 de dezembro de 1940 para tipificar a retenção salarial.",15/02/2019,CCP,Publicação de Proposição,Tramitando em Conjunto,Encaminhada à publicação. Publicação Inicial em avulso e no DCD de 16/02/19 PÁG 84.,,,,,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1707106,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2190829,04/02/2019,Rubens Otoni,PT,GO,https://www.camara.leg.br/proposicoesWeb/prop_emendas?idProposicao=2190829&subst=0,https://www.camara.leg.br/proposicoesWeb/prop_pareceres_substitutivos_votos?idProposicao=2190829,,,,,,,,,,,,,,,,,66,18001.000390/2025-30,"Altera a Lei Complementar nº 123, de 14 de dezembro de 2006, que institui o Estatuto Nacional da Microempresa e da Empresa de Pequeno Porte, para dispor sobre o valor máximo dos itens de contratação cujo processo licitatório é restrito a microempresas e empresas de pequeno porte.""",xxx,Assessoria Especial de Assuntos Parlamentares Federativos ,OFÍCIO SEI Nº 23665/2025/MGI(SEI 48655539) ,19/02/2025,05/03/2025,Assessoria Estratégica SEGES ,Despacho -SEGES - ASSEST (SEI 48942332),28/02/2025,30/03/2025,Gabinete da Delog ,Despacho MGI-SEGES-DELOG (SEI 48838228),25/02/2025,30/03/2025,4,28/03/2025,28/03/2025,3,31/03/2025,"Tendo em vista que os valores de modalidade tratados no PLP 276/2019 são atrelados à modalidade convite da Lei nº 8.666/93, a qual não foi replicada na Lei nº 14.133/2021, restitui-se os autos sem manifestação quanto ao mérito da proposta.",,,2190829,,
"PL nº 1.024, de 2020 ",PL 1024/2020,PL,1024,2020,Câmara,PL 1024/2020,"Altera a Lei nº 5.194, de 24 de dezembro de 1966, que regula o exercício das profissões de Engenheiro, Arquiteto e Engenheiro-Agrônomo.",27/02/2026,CCJC,Recebimento,Aguardando Designação de Relator(a),Recebimento pela CCJC.,02/02/2026,CCP,"Encaminhada à publicação. Parecer da Comissão de Constituição e Justiça e de Cidadania Publicado em avulso e no DCD de 03/02/2026, Letra C.",,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1870516,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2242049,25/03/2020,Poder Executivo,N/A,N/A,https://www.camara.leg.br/proposicoesWeb/prop_emendas?idProposicao=2242049&subst=0,https://www.camara.leg.br/proposicoesWeb/prop_pareceres_substitutivos_votos?idProposicao=2242049,,,,,,,,,,,,,,,,,67,18001.001524/2025-30,"Altera a Lei nº 5.194, de 24 de dezembro de 1966, que regula o exercício dasprofissões de Engenheiro, Arquiteto e
Engenheiro-Agrônomo.",xxx,Assessoria Especial de Assuntos Parlamentares Federativos ,OFÍCIO SEI Nº 83745/2025/MGI(SEI 51572607),17/06/2025,25/06/2025,Assessoria Estratégica SEGES ,Despacho -SEGES - ASSEST (SEI 51584458),18/06/2025,23/06/2025,Gabinete da Delog ,Despacho MGI-SEGES-DELOG (SEI 51682853),23/06/2025,08/07/2025,12,09/07/2025,09/07/2025,3,11/07/2025,"Conforme análise contida nos itens 9 a 13 desta nota, esta área técnica, no exercício de suas competências regimentais, não identifica impedimentos à continuidade da tramitação do Projeto de Lei nº 1.024, de 2020 (original), bem como do Substitutivo aprovado pela Comissão de Finanças e Tributação (CFT), na forma da subemenda substitutiva apresentada.",,,2242049,,
"PLei nº 4936, de 2024 ",PL 4936/2024,PL,4936,2024,Senado,,,,,,,,,,,,,,,,,,,,PL 4936/2024,"Altera a Lei nº 125, de 3 de dezembro de 1935, para determinar a adoção de práticas de construção sustentável para a edificação e reforma de prédios públicos.",26/06/2025,CMA - Comissão de Meio Ambiente,"Recebida na Comissão de Meio Ambiente, matéria aguarda designação para relatoria",,,,https://legis.senado.gov.br/sdleg-getter/documento?dm=9877502&disposition=inline,https://www25.senado.leg.br/web/atividade/materias/-/materia/166812,17/12/2024,Romário,PL,RJ,https://www25.senado.leg.br/web/atividade/materias/-/materia/166812,https://www25.senado.leg.br/web/atividade/materias/-/materia/166812,68,18001.001414/2025-78,"Altera a Lei nº 125, de 3 de dezembro de 1935, para determinar a adoção de práticas de construção sustentável para a edificação e reforma de prédios públicos"".",xxx,Assessoria Especial de Assuntos Parlamentares Federativos ,OFÍCIO SEI Nº 79440/2025/MGI(SEI 51350085),10/06/2025,16/06/2025,Assessoria Estratégica SEGES ,Despacho -SEGES - ASSEST (SEI 51439609) ,12/06/2025,,Gabinete da Delog ,Despacho MGI-SEGES-DELOG (SEI 51550420),12/06/2025,18/06/2025,2,18/06/2025,18/06/2025,2,23/06/2025,"Nesse sentido, observadas as atribuições regimentais desta Secretaria de Gestão e Inovação, manifestamo-nos no sentido de que o Projeto de Lei nº 4936, de 2024 (SEI 51349982), de autoria do Senador Romário (PL/RJ), que ""Altera a Lei nº 125, de 3 de dezembro de 1935, para determinar a adoção de práticas de construção sustentável para a edificação e reforma de prédios públicos"", não deve prosperar.",,,,8777771,166812
